Year,Month,State,MWh
2004,4,MN,67672
2004,4,ND,17537
2004,4,NE,3203
2004,4,NM,56000
2004,4,NY,11046
2004,4,OK,49024
2004,4,OR,43621
2004,4,PA,32072
2004,4,SD,13476
2004,4,TN,379
2004,4,TX,304790
2004,4,VT,1224
2004,4,WA,61898
2004,4,WI,9636
2004,4,WV,16399
2004,4,WY,50060
2004,5,CA,633789
2004,5,CO,12818
2004,5,HI,630
2004,5,IA,108860
2004,5,IL,9218
2004,5,KS,43152
2004,5,MI,126
2004,5,MN,82173
2004,5,ND,19602
2004,5,NE,3203
2004,5,NM,54041
2004,5,NY,9544
2004,5,OK,77097
2004,5,OR,62793
2004,5,PA,20790
2004,5,SD,14572
2004,5,TN,369
2004,5,TX,392863
2004,5,VT,855
2004,5,WA,72252
2004,5,WI,8516
2004,5,WV,11698
2004,5,WY,62690
2004,6,CA,682646
2004,6,CO,9073
2004,6,HI,1014
2004,6,IA,56523
2004,6,IL,4571
2004,6,KS,25681
2004,6,MI,117
2004,6,MN,52927
2004,6,ND,13094
2004,6,NE,3203
2004,6,NM,39071
2004,6,NY,6548
2004,6,OK,37804
2004,6,OR,51890
2004,6,PA,16479
2004,6,SD,9179
2004,6,TN,134
2004,6,TX,288898
2004,6,VT,777
2004,6,WA,47960
2004,6,WI,5388
2004,6,WV,7604
2004,6,WY,36625
2004,7,CA,588137
2004,7,CO,7359
2004,7,HI,1039
2004,7,IA,37955
2004,7,IL,3382
2004,7,KS,23116
2004,7,MI,67
2004,7,MN,37562
2004,7,ND,11979
2004,7,NE,3203
2004,7,NM,28243
2004,7,NY,5672
2004,7,OK,38823
2004,7,OR,51783
2004,7,PA,13973
2004,7,SD,8983
2004,7,TN,48
2004,7,TX,220802
2004,7,VT,325
2004,7,WA,39256
2004,7,WI,3698
2004,7,WV,8271
2004,7,WY,30695
2004,8,CA,491663
2004,8,CO,7798
2004,8,HI,832
2004,8,IA,52044
2004,8,IL,3867
2004,8,KS,22558
2004,8,MI,99
2004,8,MN,49761
2004,8,ND,14009
2004,8,NE,3203
2004,8,NM,30756
2004,8,NY,5495
2004,8,OK,37614
2004,8,OR,57982
2004,8,PA,11889
2004,8,SD,10983
2004,8,TN,153
2004,8,TX,160463
2004,8,VT,503
2004,8,WA,46538
2004,8,WI,5295
2004,8,WV,4474
2004,8,WY,32739
2004,9,CA,358563
2004,9,CO,10694
2004,9,HI,615
2004,9,IA,86238
2004,9,IL,4730
2004,9,KS,34453
2004,9,MI,116
2004,9,MN,66927
2004,9,ND,17387
2004,9,NE,3203
2004,9,NM,39781
2004,9,NY,6337
2004,9,OK,47518
2004,9,OR,53950
2004,9,PA,16542
2004,9,SD,13748
2004,9,TN,187
2004,9,TX,209190
2004,9,VT,842
2004,9,WA,56924
2004,9,WI,7970
2004,9,WV,9294
2004,9,WY,44406
2004,10,CA,259101
2004,10,CO,27091
2004,10,HI,530
2004,10,IA,82191
2004,10,IL,8899
2004,10,KS,28455
2004,10,MI,146
2004,10,MN,73846
2004,10,ND,21503
2004,10,NE,3203
2004,10,NM,23397
2004,10,NY,9356
2004,10,OK,41110
2004,10,OR,60501
2004,10,PA,23515
2004,10,SD,15135
2004,10,TN,0
2004,10,TX,212442
2004,10,VT,947
2004,10,WA,65254
2004,10,WI,10587
2004,10,WV,10353
2004,10,WY,51313
2004,11,CA,155229
2004,11,CO,28749
2004,11,HI,368
2004,11,IA,75643
2004,11,IL,9089
2004,11,KS,25669
2004,11,MI,172
2004,11,MN,83627
2004,11,ND,20469
2004,11,NE,3203
2004,11,NM,45950
2004,11,NY,11652
2004,11,OK,40729
2004,11,OR,22613
2004,11,PA,29632
2004,11,SD,12532
2004,11,TN,776
2004,11,TX,238356
2004,11,VT,1375
2004,11,WA,57578
2004,11,WI,7749
2004,11,WV,14825
2004,11,WY,46219
2004,12,CA,117405
2004,12,CO,59791
2004,12,HI,545
2004,12,IA,106957
2004,12,IL,12839
2004,12,KS,30212
2004,12,MI,235
2004,12,MN,91738
2004,12,ND,19799
2004,12,NE,3203
2004,12,NM,52281
2004,12,NY,14746
2004,12,OK,57546
2004,12,OR,52044
2004,12,PA,40413
2004,12,SD,14800
2004,12,TN,454
2004,12,TX,313052
2004,12,VT,1415
2004,12,WA,75230
2004,12,WI,12581
2004,12,WV,19049
2004,12,WY,75674
2005,1,AK,23
2005,1,CA,174701
2005,1,CO,105549
2005,1,HI,353
