Year,Month,State,MWh
2012,9,NY,4653.0
2012,9,OH,3997.98
2012,9,OR,572.45
2012,9,PA,2943.1
2012,9,TN,1074.64
2012,9,TX,10965.98
2012,9,US-Total,458102.65
2012,9,UT,221.65
2012,9,VT,736.3
2012,9,WA,87.0
2012,10,AZ,125321.61
2012,10,CA,114965.03
2012,10,CO,20189.22
2012,10,DE,1741.28
2012,10,FL,15277.47
2012,10,GA,354.92
2012,10,HI,443.93
2012,10,IL,3079.12
2012,10,IN,0.2
2012,10,MA,3461.78
2012,10,MD,2885.75
2012,10,MN,0.0
2012,10,NC,17233.15
2012,10,NJ,20990.23
2012,10,NM,29702.65
2012,10,NV,54275.4
2012,10,NY,3390.0
2012,10,OH,3713.42
2012,10,OR,804.75
2012,10,PA,2175.99
2012,10,TN,952.1
2012,10,TX,9513.89
2012,10,US-Total,431426.98
2012,10,UT,224.23
2012,10,VT,669.86
2012,10,WA,61.0
2012,11,AZ,104007.26
2012,11,CA,71888.46
2012,11,CO,16338.16
2012,11,DE,1236.6
2012,11,FL,10843.46
2012,11,GA,263.3
2012,11,HI,327.78
2012,11,IL,2273.48
2012,11,IN,0.15
2012,11,MA,2556.02
2012,11,MD,2826.38
2012,11,MN,0.0
2012,11,NC,23226.02
2012,11,NJ,22362.45
2012,11,NM,24920.88
2012,11,NV,44109.53
2012,11,NY,3356.0
2012,11,OH,2887.09
2012,11,OR,411.48
2012,11,PA,2077.28
2012,11,TN,2090.86
2012,11,TX,8556.49
2012,11,US-Total,347275.95
2012,11,UT,184.27
2012,11,VT,505.54
2012,11,WA,27.0
2012,12,AZ,106084.97
2012,12,CA,53219.01
2012,12,CO,13483.78
2012,12,DE,1464.4
2012,12,FL,10122.3
2012,12,GA,226.33
2012,12,HI,473.72
2012,12,IL,1981.76
2012,12,IN,169.06
2012,12,MA,2260.72
2012,12,MD,2642.22
2012,12,MN,0.0
2012,12,NC,47720.04
2012,12,NJ,14716.6
2012,12,NM,36264.72
2012,12,NV,34308.9
2012,12,NY,2101.0
2012,12,OH,2494.53
